PMID,Title,Journal,Publication Year,DOI,Paper Type,Abstract,Citations,Preprint PMID,Preprint DOI,is_preprint,preprint_of,preprint_in
39814024,Deciphering functional tumor-immune crosstalk through highly multiplexed imaging and deep visual proteomics,Molecular cell,2025,10.1016/j.molcel.2024.12.023,Disease Application,"Deciphering the intricate tumor-immune interactions within the microenvironment is crucial for advancing cancer immunotherapy. Here, we introduce mipDVP, an advanced approach integrating highly multiplexed imaging, single-cell laser microdissection, and sensitive mass spectrometry to spatially profile the proteomes of distinct cell populations in a human colorectal and tonsil cancer with high sensitivity. In a colorectal tumor-a representative cold tumor-we uncovered spatial compartmentalization of an immunosuppressive macrophage barrier that potentially impedes T cell infiltration. Spatial proteomic analysis revealed distinct functional states of T cells in different tumor compartments. In a tonsil cancer sample-a hot tumor-we identified significant proteomic heterogeneity among cells influenced by proximity to cytotoxic T cell subtypes. T cells in the tumor parenchyma exhibit metabolic adaptations to hypoxic regions. Our spatially resolved, highly multiplexed strategy deciphers the complex cellular interplay within the tumor microenvironment, offering valuable insights for identifying immunotherapy targets and predictive signatures.",20,PPR856724,10.1101/2024.05.22.595266,False,,PPR856724
40578359,Spatial proteo-transcriptomic profiling reveals the molecular landscape of borderline ovarian tumors and their invasive progression,Cancer cell,2025,10.1016/j.ccell.2025.06.004,Disease Application,"Epithelial serous borderline tumors (SBT) are non-invasive neoplastic ovarian lesions that may recur as chemo-resistant low-grade serous cancer (LGSC). While genetic alterations suggest a common origin, the transition from SBT to LGSC remains poorly understood. Here, we integrate cell-type resolved spatial proteomics and transcriptomics to elucidate the evolution from SBT to LGSC and its corresponding metastases in both stroma and tumor. The transition occurs within the epithelial compartment through an intermediary stage with micropapillary features, during which LGSC overexpresses c-Met and several brain-specific proteins. Within the tumor microenvironment, interconnectivity between cancer and stromal cells, along with enzymes degrading a packed extracellular matrix, suggests functional collaboration among various cell types. We functionally validated 16 drug targets identified through integrated spatial transcriptomics and proteomics. Combined treatment targeting CDK4/6 (milciclib) and FOLR1 (mirvetuximab) achieved significant tumor reduction in vivo, representing a promising therapeutic strategy for LGSC.",18,PPR758745,10.1101/2023.11.13.23298409,False,,PPR758745
39910169,Deep visual proteomics reveals DNA replication stress as a hallmark of signet ring cell carcinoma,NPJ precision oncology,2025,10.1038/s41698-025-00819-7,Disease Application,"Signet Ring Cell Carcinoma (SRCC) is a rare and highly malignant form of adenocarcinoma with increasing incidence and poor prognosis due to late diagnosis and limited treatment options. We employed Deep Visual Proteomics (DVP), which combines AI-directed cell segmentation and classification with laser microdissection and ultra-high sensitivity mass spectrometry, for cell-type-specific proteomic analysis of SRCC across the bladder, prostate, seminal vesicle, and a lymph node of a single patient. DVP identified significant alterations in DNA damage response (DDR) proteins, particularly within the ATR and mismatch repair (MMR) pathways, indicating replication stress as a crucial factor in SRCC mutagenicity. Additionally, we observed substantial enrichment of immune-related proteins, reflecting high levels of cytotoxic T lymphocyte infiltration and elevated PD-1 expression. These findings suggest that pembrolizumab immunotherapy may be more effective than conventional chemotherapy for this patient. Our results provide novel insights into the proteomic landscape of SRCC, identify potential targets, and open up for personalized therapeutic strategies in managing SRCC.",6,PPR892251,10.1101/2024.08.07.606985,False,,PPR892251
41721135,Single-cell spatial proteomics maps human liver zonation patterns and their vulnerability to disruption in tissue architecture,Nature metabolism,2026,10.1038/s42255-026-01459-2,Disease Application,"Understanding protein distribution patterns across tissue architecture is crucial for deciphering organ function in health and disease. Here we show the application of single-cell Deep Visual Proteomics to perform spatially resolved proteome analysis of individual cells in native liver tissue. We built a robust framework comprising strategic cell selection and continuous protein gradient mapping, allowing the investigation of larger clinical cohorts. We generated a comprehensive spatial map of the human hepatic proteome by analysing hundreds of isolated hepatocytes from 18 individuals. Among the 2,500 proteins identified per cell, about half exhibited zonated expression patterns. Cross-species comparison with male mice revealed conserved metabolic functions and human-specific features of liver zonation. Analysis of samples with disrupted liver architecture demonstrated widespread loss of protein zonation, with pericentral proteins being particularly susceptible. Our study provides a comprehensive and open-access resource of human liver organization while establishing a broadly applicable framework for spatial proteomics analyses along tissue gradients.",10,PPR1003415,10.1101/2025.04.13.648568,False,,PPR1003415
40240610,Deep Visual Proteomics maps proteotoxicity in a genetic liver disease,Nature,2025,10.1038/s41586-025-08885-4,Disease Application,"Protein misfolding diseases, including α1-antitrypsin deficiency (AATD), pose substantial health challenges, with their cellular progression still poorly understood<sup>1-3</sup>. We use spatial proteomics by mass spectrometry and machine learning to map AATD in human liver tissue. Combining Deep Visual Proteomics (DVP) with single-cell analysis<sup>4,5</sup>, we probe intact patient biopsies to resolve molecular events during hepatocyte stress in pseudotime across fibrosis stages. We achieve proteome depth of up to 4,300 proteins from one-third of a single cell in formalin-fixed, paraffin-embedded tissue. This dataset reveals a potentially clinically actionable peroxisomal upregulation that precedes the canonical unfolded protein response. Our single-cell proteomics data show α1-antitrypsin accumulation is largely cell-intrinsic, with minimal stress propagation between hepatocytes. We integrated proteomic data with artificial intelligence-guided image-based phenotyping across several disease stages, revealing a late-stage hepatocyte phenotype characterized by globular protein aggregates and distinct proteomic signatures, notably including elevated TNFSF10 (also known as TRAIL) amounts. This phenotype may represent a critical disease progression stage. Our study offers new insights into AATD pathogenesis and introduces a powerful methodology for high-resolution, in situ proteomic analysis of complex tissues. This approach holds potential to unravel molecular mechanisms in various protein misfolding disorders, setting a new standard for understanding disease progression at the single-cell level in human tissue.",31,PPR934792,10.1101/2024.11.01.621457,False,,
40027887,Toward spatial glycomics and glycoproteomics: Innovations and applications,BBA advances,2025,10.1016/j.bbadva.2025.100146,Review,"In this mini review, we provide an overview of the challenging field of spatial glycomics/glycoproteomics. Owing to their complexity, sophisticated analytical methods and innovative technologies are needed to advance this field. An agile development approach enables unraveling aberrant glycosylations, glycobiomarkers, and glycotargets for spatial imaging, diagnosis, and therapeutic purposes. We discuss glycopathology and tissue glycomic profiling using highly sensitive lectin-based analyses and introduce deep visual proteomics for glycomic/glycoproteomic sample preparation. Additionally, we highlight the importance of leveraging laser microdissection and artificial intelligence-driven visual software for cell-type assignment and automation techniques, which are crucial for advancing glycomics/glycoproteomics.",8,,,False,,
40536875,Protocol for spatial proteomic profiling of tonsil cancer microenvironments using multiplexed imaging-powered deep visual proteomics,STAR protocols,2025,10.1016/j.xpro.2025.103901,Protocol,"Here, we present a protocol for spatial proteomic profiling of the tumor microenvironment in tonsil cancer using multiplexed imaging-powered deep visual proteomics (mipDVP). We describe steps for automated 22-plex immunofluorescence staining and imaging on formalin-fixed paraffin-embedded (FFPE) tissue sections, automated single-cell laser microdissection, and single-cell-type mass spectrometry. This workflow enables the spatially resolved isolation of distinct cell populations for proteomic analysis. We optimized this protocol for studying tumor-immune interactions, where it facilitates the systematic identification of biomarkers and functional cellular networks. For complete details on the use and execution of this protocol, please refer to Zheng et al.<sup>1</sup>.",0,,,False,,
39252972,Spatial characterization and stratification of colorectal adenomas by deep visual proteomics,iScience,2024,10.1016/j.isci.2024.110620,Disease Application,"Colorectal adenomas (CRAs) are potential precursor lesions to adenocarcinomas, currently classified by morphological features. We aimed to establish a molecular feature-based risk allocation framework toward improved patient stratification. Deep visual proteomics (DVP) is an approach that combines image-based artificial intelligence with automated microdissection and ultra-high sensitive mass spectrometry. Here, we used DVP on formalin-fixed, paraffin-embedded (FFPE) CRA tissues from nine male patients, immunohistologically stained for caudal-type homeobox 2 (CDX2), a protein implicated in colorectal cancer, enabling the characterization of cellular heterogeneity within distinct tissue regions and across patients. DVP identified DMBT1, MARCKS, and CD99 as protein markers linked to recurrence, suggesting their potential for risk assessment. It also detected a metabolic shift to anaerobic glycolysis in cells with high CDX2 expression. Our findings underscore the potential of spatial proteomics to refine early stage detection and contribute to personalized patient management strategies and provided novel insights into metabolic reprogramming.",13,PPR764959,10.1101/2023.11.25.23298987,False,,PPR764959
37909047,A framework for ultra-low-input spatial tissue proteomics,Cell systems,2023,10.1016/j.cels.2023.10.003,Disease Application,"Spatial proteomics combining microscopy-based cell phenotyping with ultrasensitive mass-spectrometry-based proteomics is an emerging and powerful concept to study cell function and heterogeneity in (patho)physiology. However, optimized workflows that preserve morphological information for phenotype discovery and maximize proteome coverage of few or even single cells from laser microdissected tissue are currently lacking. Here, we report a robust and scalable workflow for the proteomic analysis of ultra-low-input archival material. Benchmarking in murine liver resulted in up to 2,000 quantified proteins from single hepatocyte contours and nearly 5,000 proteins from 50-cell regions. Applied to human tonsil, we profiled 146 microregions including T and B lymphocyte niches and quantified cell-type-specific markers, cytokines, and transcription factors. These data also highlighted proteome dynamics within activated germinal centers, illuminating sites undergoing B cell proliferation and somatic hypermutation. This approach has broad implications in biomedicine, including early disease profiling and drug target and biomarker discovery. A record of this paper's transparent peer review process is included in the supplemental information.",40,PPR659972,10.1101/2023.05.13.540426,False,,PPR659972
40229558,Spatial proteomics in translational and clinical research,Molecular systems biology,2025,10.1038/s44320-025-00101-9,Disease Application,,16,,,False,,
37683827,A Standardized and Reproducible Workflow for Membrane Glass Slides in Routine Histology and Spatial Proteomics,Molecular & cellular proteomics : MCP,2023,10.1016/j.mcpro.2023.100643,Workflow Improvement,"Defining the molecular phenotype of single cells in situ is key for understanding tissue architecture in health and disease. Advanced imaging platforms have recently been joined by spatial omics technologies, promising unparalleled insights into the molecular landscape of biological samples. Furthermore, high-precision laser microdissection (LMD) of tissue on membrane glass slides is a powerful method for spatial omics technologies and single-cell type spatial proteomics in particular. However, current histology protocols have not been compatible with glass membrane slides and LMD for automated staining platforms and routine histology procedures. This has prevented the combination of advanced staining procedures with LMD. In this study, we describe a novel method for handling glass membrane slides that enables automated eight-color multiplexed immunofluorescence staining and high-quality imaging followed by precise laser-guided extraction of single cells. The key advance is the glycerol-based modification of heat-induced epitope retrieval protocols, termed ""G-HIER."" We find that this altered antigen-retrieval solution prevents membrane distortion. Importantly, G-HIER is fully compatible with current antigen retrieval workflows and mass spectrometry-based proteomics and does not affect proteome depth or quality. To demonstrate the versatility of G-HIER for spatial proteomics, we apply the recently introduced deep visual proteomics technology to perform single-cell type analysis of adjacent suprabasal and basal keratinocytes of human skin. G-HIER overcomes previous incompatibility of standard and advanced staining protocols with membrane glass slides and enables robust integration with routine histology procedures, high-throughput multiplexed imaging, and sophisticated downstream spatial omics technologies.",10,PPR619222,10.1101/2023.02.20.529255,False,,PPR619222
41418981,An Ultrasensitive Spatial Tissue Proteomics Workflow Exceeding 100 Proteomes Per Day,Molecular & cellular proteomics : MCP,2026,10.1016/j.mcpro.2025.101489,Disease Application,"Achieving high-resolution spatial tissue proteomes requires careful balancing and integration of optimized sample processing, chromatography, and MS acquisition. Here, we present an advanced cellenONE protocol for loss-reduced tissue processing and compare all Evosep ONE Whisper Zoom gradients (20, 40, 80, and 120 samples per day), along with three common data-independent acquisition schemes on a timsUltra athena ion processor mass spectrometer. We found that tissue type was as important as gradient length and sample amount in determining proteome coverage. Moreover, the benefit of increased tissue sampling was gradient- and dynamic range-dependent. Analyzing mouse liver, a high dynamic range tissue, over tenfold more tissue sampling led to only ∼30% gain in protein identification for short gradients (120 samples per day (SPD) and 80 SPD). However, even the lowest tested tissue amount (0.04 nl) yielded 3200 reproducibly quantified proteins for the 120 SPD method. Longer gradients (40 SPD and 20 SPD) instead significantly benefited from more tissue sampling, quantifying over 7500 proteins from 0.5 nl of tonsil T-cell niches. Finally, we applied our workflow to a rare squamous cell carcinoma of the oral cavity, uncovering disease-associated pathways and region-specific protein level changes. Our study demonstrates that more than 100 high-quality spatial tissue proteomes can be prepared and acquired daily, laying a strong foundation for cohort-size spatial tissue proteomics in translational research.",3,PPR1031759,10.1101/2025.06.02.657389,False,,PPR1031759
38513891,An Automated and Fast Sample Preparation Workflow for Laser Microdissection Guided Ultrasensitive Proteomics,Molecular & cellular proteomics : MCP,2024,10.1016/j.mcpro.2024.100750,Disease Application,"Spatial tissue proteomics integrating whole-slide imaging, laser microdissection, and ultrasensitive mass spectrometry is a powerful approach to link cellular phenotypes to functional proteome states in (patho)physiology. To be applicable to large patient cohorts and low sample input amounts, including single-cell applications, loss-minimized and streamlined end-to-end workflows are key. We here introduce an automated sample preparation protocol for laser microdissected samples utilizing the cellenONE robotic system, which has the capacity to process 192 samples in 3 h. Following laser microdissection collection directly into the proteoCHIP LF 48 or EVO 96 chip, our optimized protocol facilitates lysis, formalin de-crosslinking, and tryptic digest of low-input archival tissue samples. The seamless integration with the Evosep ONE LC system by centrifugation allows 'on-the-fly' sample clean-up, particularly pertinent for laser microdissection workflows. We validate our method in human tonsil archival tissue, where we profile proteomes of spatially-defined B-cell, T-cell, and epithelial microregions of 4000 μm<sup>2</sup> to a depth of ∼2000 proteins and with high cell type specificity. We finally provide detailed equipment templates and experimental guidelines for broad accessibility.",18,PPR767288,10.1101/2023.11.29.569257,False,,PPR767288
39415009,Spatial proteomics identifies JAKi as treatment for a lethal skin disease,Nature,2024,10.1038/s41586-024-08061-0,Disease Application,"Toxic epidermal necrolysis (TEN) is a fatal drug-induced skin reaction triggered by common medications and is an emerging public health issue<sup>1-3</sup>. Patients with TEN undergo severe and sudden epidermal detachment caused by keratinocyte cell death. Although molecular mechanisms that drive keratinocyte cell death have been proposed, the main drivers remain unknown, and there is no effective therapy for TEN<sup>4-6</sup>. Here, to systematically map molecular changes that are associated with TEN and identify potential druggable targets, we utilized deep visual proteomics, which provides single-cell-based, cell-type-resolution proteomics<sup>7,8</sup>. We analysed formalin-fixed, paraffin-embedded archived skin tissue biopsies of three types of cutaneous drug reactions with varying severity and quantified more than 5,000 proteins in keratinocytes and skin-infiltrating immune cells. This revealed a marked enrichment of type I and type II interferon signatures in the immune cell and keratinocyte compartment of patients with TEN, as well as phosphorylated STAT1 activation. Targeted inhibition with the pan-JAK inhibitor tofacitinib in vitro reduced keratinocyte-directed cytotoxicity. In vivo oral administration of tofacitinib, baricitinib or the JAK1-specific inhibitors abrocitinib or upadacitinib ameliorated clinical and histological disease severity in two distinct mouse models of TEN. Crucially, treatment with JAK inhibitors (JAKi) was safe and associated with rapid cutaneous re-epithelialization and recovery in seven patients with TEN. This study uncovers the JAK/STAT and interferon signalling pathways as key pathogenic drivers of TEN and demonstrates the potential of targeted JAKi as a curative therapy.",101,PPR758328,10.1101/2023.11.11.23295492,False,,
37783884,Spatial single-cell mass spectrometry defines zonation of the hepatocyte proteome,Nature methods,2023,10.1038/s41592-023-02007-6,Workflow Improvement,"Single-cell proteomics by mass spectrometry is emerging as a powerful and unbiased method for the characterization of biological heterogeneity. So far, it has been limited to cultured cells, whereas an expansion of the method to complex tissues would greatly enhance biological insights. Here we describe single-cell Deep Visual Proteomics (scDVP), a technology that integrates high-content imaging, laser microdissection and multiplexed mass spectrometry. scDVP resolves the context-dependent, spatial proteome of murine hepatocytes at a current depth of 1,700 proteins from a cell slice. Half of the proteome was differentially regulated in a spatial manner, with protein levels changing dramatically in proximity to the central vein. We applied machine learning to proteome classes and images, which subsequently inferred the spatial proteome from imaging data alone. scDVP is applicable to healthy and diseased tissues and complements other spatial proteomics and spatial omics technologies.",123,PPR579563,10.1101/2022.12.03.518957,False,,PPR579563
37602975,Robust dimethyl-based multiplex-DIA doubles single-cell proteome depth via a reference channel,Molecular systems biology,2023,10.15252/msb.202211503,Workflow Improvement,"Single-cell proteomics aims to characterize biological function and heterogeneity at the level of proteins in an unbiased manner. It is currently limited in proteomic depth, throughput, and robustness, which we address here by a streamlined multiplexed workflow using data-independent acquisition (mDIA). We demonstrate automated and complete dimethyl labeling of bulk or single-cell samples, without losing proteomic depth. Lys-N digestion enables five-plex quantification at MS1 and MS2 level. Because the multiplexed channels are quantitatively isolated from each other, mDIA accommodates a reference channel that does not interfere with the target channels. Our algorithm RefQuant takes advantage of this and confidently quantifies twice as many proteins per single cell compared to our previous work (Brunner et al, PMID 35226415), while our workflow currently allows routine analysis of 80 single cells per day. Finally, we combined mDIA with spatial proteomics to increase the throughput of Deep Visual Proteomics seven-fold for microdissection and four-fold for MS analysis. Applying this to primary cutaneous melanoma, we discovered proteomic signatures of cells within distinct tumor microenvironments, showcasing its potential for precision oncology.",85,PPR579636,10.1101/2022.12.02.518917,False,,PPR579636
