PMID,Keyword,Source
41721135,Proteomics,MeSH Term
41721135,Male,MeSH Term
41721135,Single-Cell Analysis,MeSH Term
40536875,Cancer,Author Keyword
40536875,Microscopy,Author Keyword
40536875,Biotechnology And Bioengineering,Author Keyword
40536875,Humans,MeSH Term
40536875,Tonsillar Neoplasms,MeSH Term
40536875,Paraffin Embedding,MeSH Term
40536875,Proteomics,MeSH Term
40536875,Mass Spectrometry,MeSH Term
40536875,Single-Cell Analysis,MeSH Term
40536875,Tumor Microenvironment,MeSH Term
40536875,Laser Capture Microdissection,MeSH Term
39252972,Artificial intelligence,Author Keyword
39252972,Cancer,Author Keyword
39252972,Proteomics,Author Keyword
39252972,Cancer System Biology,Author Keyword
37909047,Mass spectrometry,Author Keyword
37909047,Proteomics,Author Keyword
37909047,Histopathology,Author Keyword
37909047,Ffpe,Author Keyword
37909047,Single-cell Proteomics,Author Keyword
37909047,Spatial Proteomics,Author Keyword
37909047,Deep Visual Proteomics,Author Keyword
37909047,Animals,MeSH Term
37909047,Humans,MeSH Term
37909047,Mice,MeSH Term
37909047,Proteome,MeSH Term
37909047,Proteomics,MeSH Term
37909047,Mass Spectrometry,MeSH Term
37683827,Histology,Author Keyword
37683827,Proteomics,Author Keyword
37683827,glycerol,Author Keyword
37683827,Laser Microdissection,Author Keyword
37683827,Antigen Retrieval,Author Keyword
37683827,Spatial Proteomics,Author Keyword
37683827,Deep Visual Proteomics,Author Keyword
37683827,Membrane Slides,Author Keyword
37683827,Humans,MeSH Term
37683827,Glass,MeSH Term
37683827,Fluorescent Antibody Technique,MeSH Term
37683827,Reproducibility of Results,MeSH Term
37683827,Proteomics,MeSH Term
37683827,Workflow,MeSH Term
37683827,Single-Cell Analysis,MeSH Term
37683827,Laser Capture Microdissection,MeSH Term
41418981,Liver,Author Keyword
41418981,Squamous cell carcinoma,Author Keyword
41418981,Tonsil,Author Keyword
41418981,Tissue Profiling,Author Keyword
41418981,Ffpe,Author Keyword
41418981,automation,Author Keyword
41418981,Spatial Proteomics,Author Keyword
41418981,Diapasef,Author Keyword
41418981,Evosep One,Author Keyword
41418981,Whisper Zoom,Author Keyword
41418981,Timsultra,Author Keyword
41418981,Cellenone,Author Keyword
41418981,Liver,MeSH Term
41418981,Animals,MeSH Term
41418981,Humans,MeSH Term
41418981,Mice,MeSH Term
41418981,"Carcinoma, Squamous Cell",MeSH Term
41418981,Head and Neck Neoplasms,MeSH Term
41418981,Proteome,MeSH Term
41418981,Proteomics,MeSH Term
41418981,Palatine Tonsil,MeSH Term
41418981,Workflow,MeSH Term
38513891,LC-MS,Author Keyword
38513891,Ffpe,Author Keyword
38513891,Tissue Proteomics,Author Keyword
38513891,Ultrasensitive,Author Keyword
38513891,Spatial Proteomics,Author Keyword
38513891,Low-input,Author Keyword
38513891,Timstof,Author Keyword
38513891,Cellenone,Author Keyword
38513891,B-Lymphocytes,MeSH Term
38513891,T-Lymphocytes,MeSH Term
38513891,Humans,MeSH Term
38513891,Proteome,MeSH Term
38513891,Proteomics,MeSH Term
38513891,Automation,MeSH Term
38513891,Mass Spectrometry,MeSH Term
38513891,Palatine Tonsil,MeSH Term
38513891,Workflow,MeSH Term
38513891,Laser Capture Microdissection,MeSH Term
39415009,Keratinocytes,MeSH Term
39415009,Skin,MeSH Term
39415009,Animals,MeSH Term
39415009,"Mice, Inbred C57BL",MeSH Term
39415009,Humans,MeSH Term
39415009,Mice,MeSH Term
39415009,Stevens-Johnson Syndrome,MeSH Term
39415009,"Disease Models, Animal",MeSH Term
39415009,Sulfonamides,MeSH Term
39415009,Azetidines,MeSH Term
39415009,Piperidines,MeSH Term
39415009,Pyrazoles,MeSH Term
39415009,Pyrimidines,MeSH Term
39415009,Purines,MeSH Term
39415009,"Heterocyclic Compounds, 3-Ring",MeSH Term
39415009,Interferon Type I,MeSH Term
39415009,Biopsy,MeSH Term
39415009,"Administration, Oral",MeSH Term
39415009,Pilot Projects,MeSH Term
39415009,Proteomics,MeSH Term
39415009,Phosphorylation,MeSH Term
39415009,Female,MeSH Term
39415009,Male,MeSH Term
39415009,STAT1 Transcription Factor,MeSH Term
39415009,Janus Kinase 1,MeSH Term
39415009,Interferon-gamma,MeSH Term
39415009,Molecular Targeted Therapy,MeSH Term
39415009,Single-Cell Analysis,MeSH Term
39415009,Janus Kinase Inhibitors,MeSH Term
37783884,Animals,MeSH Term
37783884,Mice,MeSH Term
37783884,Proteome,MeSH Term
37783884,Proteomics,MeSH Term
37783884,Mass Spectrometry,MeSH Term
37783884,Laser Capture Microdissection,MeSH Term
37602975,Single cells,Author Keyword
37602975,DIA,Author Keyword
37602975,Multiplexing,Author Keyword
37602975,Dimethyl Labeling,Author Keyword
37602975,Spatial Proteomics,Author Keyword
37602975,Humans,MeSH Term
37602975,Melanoma,MeSH Term
37602975,Skin Neoplasms,MeSH Term
37602975,Proteome,MeSH Term
37602975,Proteomics,MeSH Term
37602975,Tumor Microenvironment,MeSH Term
37602975,Precision Medicine,MeSH Term
35590073,Humans,MeSH Term
35590073,Melanoma,MeSH Term
35590073,Proteome,MeSH Term
35590073,Proteomics,MeSH Term
35590073,Mass Spectrometry,MeSH Term
35590073,Laser Capture Microdissection,MeSH Term
41044418,Myocardium,MeSH Term
41044418,Endocardium,MeSH Term
41044418,Monocytes,MeSH Term
41044418,Animals,MeSH Term
41044418,"Mice, Inbred C57BL",MeSH Term
41044418,Mice,MeSH Term
41044418,Myocardial Infarction,MeSH Term
41044418,"Disease Models, Animal",MeSH Term
41044418,von Willebrand Factor,MeSH Term
41044418,Gene Expression Profiling,MeSH Term
41044418,Proteomics,MeSH Term
41044418,"Chemotaxis, Leukocyte",MeSH Term
41044418,Time Factors,MeSH Term
41044418,Male,MeSH Term
41044418,"Receptors, CCR2",MeSH Term
41044418,Transcriptome,MeSH Term
41044418,Multiomics,MeSH Term
41233595,High-grade Serous Ovarian Cancer,Author Keyword
41233595,Serous Tubal Intraepithelial Carcinoma,Author Keyword
41233595,Cancer Proteomics,Author Keyword
41233595,Spatial Tissue Proteomics,Author Keyword
41233595,"Cell Line, Tumor",MeSH Term
41233595,Humans,MeSH Term
41233595,"Cystadenocarcinoma, Serous",MeSH Term
41233595,Ovarian Neoplasms,MeSH Term
41233595,Carboplatin,MeSH Term
41233595,Cholesterol,MeSH Term
41233595,Proteome,MeSH Term
41233595,Proteomics,MeSH Term
41233595,Female,MeSH Term
41233595,Tumor Microenvironment,MeSH Term
41233595,"Biomarkers, Tumor",MeSH Term
