Id,Label,Publications,Country,Institution
Shulman Z,Shulman Z,1,Germany,Max Planck Institute of Biochemistry
Sicklinger F,Sicklinger F,1,Germany,University Hospital Heidelberg
Siemes D,Siemes D,1,Germany,University Hospital Essen
Silke J,Silke J,1,Australia,Walter and Eliza Hall Institute of Medical Research
Silke N,Silke N,1,Australia,Walter and Eliza Hall Institute of Medical Research
Sinha A,Sinha A,2,Germany,Department of Proteomics and Signal Transduction; Max Planck Institute of Biochemistry
Sjöstedt E,Sjöstedt E,1,Germany,Max Planck Institute of Biochemistry
Skarwan E,Skarwan E,1,Germany,Max Planck Institute of Biochemistry
Skov J,Skov J,1,Denmark,University of Copenhagen
Skowronek P,Skowronek P,2,Germany,Max Planck Institute of Biochemistry
Stadler PC,Stadler PC,2,Germany,University Hospital
Stadler R,Stadler R,1,Germany,Max Planck Institute of Biochemistry
Steenholdt C,Steenholdt C,1,Denmark,University of Southern Denmark
Steger M,Steger M,1,Germany,Max Planck Institute of Biochemistry
Steigenberger B,Steigenberger B,1,Germany,Max Planck Institute of Biochemistry
Steigerwald S,Steigerwald S,4,Germany,Max Planck Institute of Biochemistry
Strauss MT,Strauss MT,5,Denmark,Resolute Bio
Strnad P,Strnad P,1,Germany,University Hospital RWTH
Swanson BJ,Swanson BJ,1,Denmark,University of Nebraska Medical Center
Szadai L,Szadai L,1,Sweden,University of Szeged
Szasz AM,Szasz AM,1,Sweden,Semmelweis University
Tanevski J,Tanevski J,1,Germany,University Hospital Heidelberg and Heidelberg University
Tanzer MC,Tanzer MC,2,Australia,Walter and Eliza Hall Institute of Medical Research
Taube ET,Taube ET,1,Germany,Institute of Pathology
Tautges S,Tautges S,1,Germany,University Hospital Essen
Theis FJ,Theis FJ,2,Germany,Technical University of Munich
Thiebes S,Thiebes S,1,Germany,University Hospital Essen
Thielert M,Thielert M,7,Germany,Max Planck Institute of Biochemistry
Thiemann T,Thiemann T,1,Germany,University Hospital Heidelberg
Thomsen JH,Thomsen JH,1,Denmark,Resolute Bio
Thorhauge KH,Thorhauge KH,1,Denmark,Centre for Liver Research
Trinh M,Trinh M,1,Germany,Max-Delbrück-Center for Molecular Medicine in the Helmholtz Association (MDC)
Ugur E,Ugur E,1,Germany,Max Planck Institute of Biochemistry
Uhlén M,Uhlén M,1,Germany,Max Planck Institute of Biochemistry
Ulrich J,Ulrich J,1,Germany,Max-Delbrück-Center for Molecular Medicine in the Helmholtz Association (MDC)
Ummat I,Ummat I,1,Denmark,Resolute Bio
Valdes DS,Valdes DS,2,Germany,Max-Delbrück-Center for Molecular Medicine in the Helmholtz Association (MDC)
Vasconez S,Vasconez S,1,Germany,Max Planck Institute of Biochemistry
Voss H,Voss H,1,Germany,University Hospital Essen
Wahle M,Wahle M,5,Germany,Max Planck Institute of Biochemistry
Wallmann G,Wallmann G,1,Germany,Gene Center and Department of Biochemistry
Wang H,Wang H,1,Denmark,The University of Texas MD Anderson Cancer Center
Wang L,Wang L,1,Germany,Max-Delbrück-Center for Molecular Medicine in the Helmholtz Association (MDC)
Wang Y,Wang Y,1,China,Nanjing Medical University
Weiss CAM,Weiss CAM,3,Germany,Max Planck Institute of Biochemistry
Wetzel S,Wetzel S,1,Sweden,Karolinska Institutet
Widera L,Widera L,1,Germany,University Hospital Essen
Wieslander E,Wieslander E,1,Sweden,Lund University
Williams C,Williams C,1,Australia,Walter and Eliza Hall Institute of Medical Research
Woldmar N,Woldmar N,1,Sweden,Lund University
Wu D,Wu D,1,China,Jiangnan University
Wu Y,Wu Y,1,Singapore,Institute of Molecular and Cell Biology (IMCB)
Wünnemann F,Wünnemann F,1,Germany,University Hospital Heidelberg and Heidelberg University
Xu TT,Xu TT,1,Germany,Max Planck Institute of Biochemistry
Yamada SD,Yamada SD,1,United States,The University of Chicago
Yang M,Yang M,1,Unknown,Yale University
Yeong J,Yeong J,1,Singapore,Institute of Molecular and Cell Biology (IMCB)
You H,You H,1,China,Jiangnan University
Zeng WF,Zeng WF,1,Germany,Max Planck Institute of Biochemistry
Zhang F,Zhang F,1,China,Nanjing Medical University
Zhang P,Zhang P,1,China,The First Affiliated Hospital of Fujian Medical University
Zhang X,Zhang X,1,Germany,Max Planck Institute of Biochemistry
Zhang Y,Zhang Y,1,China,Nanjing Medical University
Zheng X,Zheng X,5,Denmark,Aarhus University
Zhou XX,Zhou XX,1,Germany,Max Planck Institute of Biochemistry
Zonderland G,Zonderland G,1,Denmark,Resolute Bio
Zwahlen M,Zwahlen M,1,Germany,Max Planck Institute of Biochemistry
Zwiebel M,Zwiebel M,4,Germany,Max Planck Institute of Biochemistry
von Feilitzen K,von Feilitzen K,1,Germany,Max Planck Institute of Biochemistry
von Kriegsheim A,von Kriegsheim A,1,United Kingdom,University of Edinburgh
von Scheidt M,von Scheidt M,1,Germany,Max Planck Institute of Biochemistry
