PMID,Author Name,Last Name,Author Order,Institution,Country,Is Corresponding,Affiliation
42013410,Hollingsworth MA,Hollingsworth,17,University of Nebraska Medical Center Omaha,United States,False,"University of Nebraska Medical Center Omaha, NE United States."
42013410,Ummat I,Ummat,18,Unknown,Denmark,False,Resolute Bio Copenhagen Denmark.
42013410,Strauss MT,Strauss,19,Unknown,Denmark,False,Resolute Bio Copenhagen Denmark.
42013410,Mund A,Mund,20,Unknown,Denmark,False,Resolute Bio Copenhagen Denmark.
42013410,Maitra A,Maitra,21,Unknown,United States,False,NYU Langone Health Houston United States.
PPR1242524,Weiss CAM,Weiss,1,Unknown,Unknown,False,
PPR1242524,Sjöstedt E,Sjöstedt,2,Unknown,Unknown,False,
PPR1242524,Debnath A,Debnath,3,Unknown,Unknown,False,
PPR1242524,Ben-Moshe S,Ben-Moshe,4,Unknown,Unknown,False,
PPR1242524,Diedrich L,Diedrich,5,Unknown,Unknown,False,
PPR1242524,Zwahlen M,Zwahlen,6,Unknown,Unknown,False,
PPR1242524,Oeller M,Oeller,7,Unknown,Unknown,False,
PPR1242524,Wahle M,Wahle,8,Unknown,Unknown,False,
PPR1242524,Skarwan E,Skarwan,9,Unknown,Unknown,False,
PPR1242524,Heymann T,Heymann,10,Unknown,Unknown,False,
PPR1242524,Oliinyk D,Oliinyk,11,Unknown,Unknown,False,
PPR1242524,Kratz E,Kratz,12,Unknown,Unknown,False,
PPR1242524,Metousis A,Metousis,13,Unknown,Unknown,False,
PPR1242524,Braun C,Braun,14,Unknown,Unknown,False,
PPR1242524,Schunkert H,Schunkert,15,Unknown,Unknown,False,
PPR1242524,Johansson F,Johansson,16,Unknown,Unknown,False,
PPR1242524,Lundberg E,Lundberg,17,Unknown,Unknown,False,
PPR1242524,von Feilitzen K,von Feilitzen,18,Unknown,Unknown,False,
PPR1242524,Lindskog C,Lindskog,19,Unknown,Unknown,False,
PPR1242524,Rosenberger FA,Rosenberger,20,Unknown,Unknown,False,
PPR1242524,von Scheidt M,von Scheidt,21,Unknown,Unknown,False,
PPR1242524,Uhlén M,Uhlén,22,Unknown,Unknown,False,
PPR1242524,Mann M,Mann,23,Unknown,Unknown,False,
40934911,Post F,Post,1,University of Copenhagen,Denmark,False,"Proteomics Program, Novo Nordisk Foundation Center for Protein Research, Department of Cellular and Molecular Medicine, Faculty of Health and Medical Sciences, University of Copenhagen, 2200 Copenhagen, Denmark."
40934911,Hausmann A,Hausmann,2,University of Copenhagen,Switzerland,True,"reNEW, Novo Nordisk Foundation Center for Stem Cell Medicine, Department of Biomedical Sciences, Faculty of Health and Medical Sciences, University of Copenhagen, 2200 Copenhagen, Denmark; Department of Health Sciences and Technology, ETH Zürich, 8092 Zürich, Switzerland. Electronic address: annika.hausmann@hest.ethz.ch."
40934911,Kabatnik S,Kabatnik,3,University of Copenhagen,Denmark,False,"Proteomics Program, Novo Nordisk Foundation Center for Protein Research, Department of Cellular and Molecular Medicine, Faculty of Health and Medical Sciences, University of Copenhagen, 2200 Copenhagen, Denmark."
40934911,Steigerwald S,Steigerwald,4,Max Planck Institute of Biochemistry,Germany,False,"Department of Proteomics and Signal Transduction, Max Planck Institute of Biochemistry, 82152 Martinsried, Germany."
40934911,Brand A,Brand,5,University of Copenhagen,Denmark,False,"reNEW, Novo Nordisk Foundation Center for Stem Cell Medicine, Department of Biomedical Sciences, Faculty of Health and Medical Sciences, University of Copenhagen, 2200 Copenhagen, Denmark."
40934911,Clement DL,Clement,6,University of Copenhagen,Denmark,False,"reNEW, Novo Nordisk Foundation Center for Stem Cell Medicine, Department of Biomedical Sciences, Faculty of Health and Medical Sciences, University of Copenhagen, 2200 Copenhagen, Denmark."
40934911,Skov J,Skov,7,University of Copenhagen,Denmark,False,"reNEW, Novo Nordisk Foundation Center for Stem Cell Medicine, Department of Biomedical Sciences, Faculty of Health and Medical Sciences, University of Copenhagen, 2200 Copenhagen, Denmark."
40934911,Lõhmussaar K,Lõhmussaar,8,University of Copenhagen,Denmark,False,"reNEW, Novo Nordisk Foundation Center for Stem Cell Medicine, Department of Biomedical Sciences, Faculty of Health and Medical Sciences, University of Copenhagen, 2200 Copenhagen, Denmark."
40934911,Larsen HL,Larsen,9,University of Copenhagen,Denmark,False,"reNEW, Novo Nordisk Foundation Center for Stem Cell Medicine, Department of Biomedical Sciences, Faculty of Health and Medical Sciences, University of Copenhagen, 2200 Copenhagen, Denmark."
40934911,Maimets M,Maimets,10,University of Copenhagen,Denmark,False,"reNEW, Novo Nordisk Foundation Center for Stem Cell Medicine, Department of Biomedical Sciences, Faculty of Health and Medical Sciences, University of Copenhagen, 2200 Copenhagen, Denmark."
40934911,Boye TL,Boye,11,University of Copenhagen,Denmark,False,"Department of Gastroenterology, Herlev Hospital, University of Copenhagen, 2730 Herlev, Denmark."
40934911,Jez G,Jez,12,University of Copenhagen,Denmark,False,"Proteomics Program, Novo Nordisk Foundation Center for Protein Research, Department of Cellular and Molecular Medicine, Faculty of Health and Medical Sciences, University of Copenhagen, 2200 Copenhagen, Denmark."
40934911,Sato T,Sato,13,Keio University School of Medicine,Japan,False,"Department of Integrated Medicine and Biochemistry, Keio University School of Medicine, Tokyo 160-8582, Japan."
40934911,Steenholdt C,Steenholdt,14,University of Southern Denmark,Denmark,False,"Department of Medical Gastrointestinal Diseases S, Odense University Hospital, 5000 Odense, Denmark; Department of Clinical Research, Research Unit of Medical Gastroenterology, University of Southern Denmark, 5230 Odense, Denmark."
40934911,Rosenberger F,Rosenberger,15,Max Planck Institute of Biochemistry,Germany,False,"Department of Proteomics and Signal Transduction, Max Planck Institute of Biochemistry, 82152 Martinsried, Germany."
40934911,Mund A,Mund,16,University of Copenhagen,Denmark,False,"Proteomics Program, Novo Nordisk Foundation Center for Protein Research, Department of Cellular and Molecular Medicine, Faculty of Health and Medical Sciences, University of Copenhagen, 2200 Copenhagen, Denmark."
40934911,Nielsen OH,Nielsen,17,University of Copenhagen,Denmark,False,"Department of Gastroenterology, Herlev Hospital, University of Copenhagen, 2730 Herlev, Denmark."
40934911,Jensen KB,Jensen,18,University of Copenhagen,Denmark,True,"reNEW, Novo Nordisk Foundation Center for Stem Cell Medicine, Department of Biomedical Sciences, Faculty of Health and Medical Sciences, University of Copenhagen, 2200 Copenhagen, Denmark. Electronic address: kim.jensen@sund.ku.dk."
40934911,Mann M,Mann,19,Max Planck Institute of Biochemistry,Germany,True,"Proteomics Program, Novo Nordisk Foundation Center for Protein Research, Department of Cellular and Molecular Medicine, Faculty of Health and Medical Sciences, University of Copenhagen, 2200 Copenhagen, Denmark; Department of Proteomics and Signal Transduction, Max Planck Institute of Biochemistry, 82152 Martinsried, Germany. Electronic address: mmann@biochem.mpg.de."
41629712,Fritzsche S,Fritzsche,1,Max-Delbrück-Center for Molecular Medicine in the Helmholtz Association (MDC),Germany,False,"Max-Delbrück-Center for Molecular Medicine in the Helmholtz Association (MDC), Spatial Proteomics Group, Berlin, Germany."
41629712,Coscia F,Coscia,2,Max-Delbrück-Center for Molecular Medicine in the Helmholtz Association (MDC),Germany,True,"Max-Delbrück-Center for Molecular Medicine in the Helmholtz Association (MDC), Spatial Proteomics Group, Berlin, Germany. fabian.coscia@mdc-berlin.de."
40675342,Manickavel P,Manickavel,1,Western University,Canada,False,"Transplant AI Initiative, Ajmera Transplant Program, University Health Network, Toronto, Ontario, Canada; Schulich School of Medicine & Dentistry, Western University, London, Ontario, Canada."
40675342,Bhat M,Bhat,2,University Health Network,Canada,False,"Transplant AI Initiative, Ajmera Transplant Program, Toronto, Ontario, Canada; Toronto General Hospital Research Institute, University Health Network, Toronto, Ontario, Canada; Department of Medicine, University of Toronto, Toronto, Ontario, Canada; Division of Gastroenterology and Hepatology, University Health Network, Toronto, Ontario, Canada."
40360936,Hindson J,Hindson,1,Unknown,Unknown,True,"Nature Reviews Gastroenterology & Hepatology, . nrgasthep@nature.com."
41629719,Gasparello T,Gasparello,1,University of Edinburgh,United Kingdom,False,"Institute of Genetics and Cancer, University of Edinburgh, Edinburgh, UK."
41629719,Pearson M,Pearson,2,University of Edinburgh,United Kingdom,False,"Institute of Genetics and Cancer, University of Edinburgh, Edinburgh, UK."
41629719,von Kriegsheim A,von Kriegsheim,3,University of Edinburgh,United Kingdom,True,"Institute of Genetics and Cancer, University of Edinburgh, Edinburgh, UK. Alex.VonKriegsheim@ed.ac.uk."
PPR1010749,Mardamshina M,Mardamshina,1,Unknown,Unknown,False,
PPR1010749,Dorka N,Dorka,2,Unknown,Unknown,False,
PPR1010749,Thielert M,Thielert,3,Unknown,Unknown,False,
PPR1010749,Björklund F,Björklund,4,Unknown,Unknown,False,
PPR1010749,Navarro FB,Navarro,5,Unknown,Unknown,False,
PPR1010749,Casals AM,Casals,6,Unknown,Unknown,False,
PPR1010749,Kovacs F,Kovacs,7,Unknown,Unknown,False,
PPR1010749,Manning Fox JE,Manning Fox,8,Unknown,Unknown,False,
PPR1010749,Horvath P,Horvath,9,Unknown,Unknown,False,
PPR1010749,MacDonald PE,MacDonald,10,Unknown,Unknown,False,
PPR1010749,Mann M,Mann,11,Unknown,Unknown,False,
PPR1010749,Lundberg E,Lundberg,12,Unknown,Unknown,False,
40680990,Guedes J,Guedes,1,Lund University,Sweden,False,"Section for Clinical Chemistry, Department of Translational Medicine, Lund University, Lund, Sweden."
40680990,Woldmar N,Woldmar,2,Lund University,Sweden,False,"Section for Clinical Chemistry, Department of Translational Medicine, Lund University, Lund, Sweden."
40680990,Szasz AM,Szasz,3,Semmelweis University,Unknown,False,"Department of Bioinformatics, Semmelweis University, Budapest, Hungary."
40680990,Wieslander E,Wieslander,4,Lund University,Sweden,False,"Section for Clinical Chemistry, Department of Translational Medicine, Lund University, Lund, Sweden."
40680990,Pawłowski K,Pawłowski,5,University of Texas Southwestern Medical Center,United States,False,"Department of Molecular Biology, University of Texas Southwestern Medical Center, Dallas, TX, USA."
40680990,Horvatovich P,Horvatovich,6,University of Groningen,Netherlands,False,"Section for Clinical Chemistry, Department of Translational Medicine, Lund University, Lund, Sweden; Department of Analytical Biochemistry, Faculty of Science and Engineering, University of Groningen, Groningen, the Netherlands."
40680990,Malm J,Malm,7,Lund University,Sweden,False,"Section for Clinical Chemistry, Department of Translational Medicine, Lund University, Lund, Sweden."
40680990,Szadai L,Szadai,8,University of Szeged,Unknown,False,"Department of Dermatology and Allergology, University of Szeged, Szeged, Hungary."
40680990,Németh IB,Németh,9,University of Szeged,Unknown,False,"Department of Dermatology and Allergology, University of Szeged, Szeged, Hungary."
40680990,Marko-Varga G,Marko-Varga,10,Tokyo Medical University,Japan,False,"Clinical Protein Science & Imaging, Biomedical Centre, Department of Biomedical Engineering, Lund University, Lund, Sweden; Chemical Genomics Global Research Lab, Department of Biotechnology, College of Life Science and Biotechnology, Yonsei University, Seoul, Republic of Korea; 1st Department of Surgery, Tokyo Medical University, Tokyo, Japan."
40680990,Gil J,Gil,11,Lund University,Sweden,True,"Section for Clinical Chemistry, Department of Translational Medicine, Lund University, Lund, Sweden. Electronic address: jeovanis.gil_valdes@med.lu.se."
41965357,Chakrabarti S,Chakrabarti,1,Max-Delbrück-Center for Molecular Medicine in the Helmholtz Association (MDC),Germany,True,"Max-Delbrück-Center for Molecular Medicine in the Helmholtz Association (MDC), Molecular Physiology of Somatic Sensation Laboratory, 13125, Berlin, Germany. Sampurna.chakrabarti@helmholtz-hzi.de."
41965357,Makhmut A,Makhmut,2,Max-Delbrück-Center for Molecular Medicine in the Helmholtz Association (MDC),Germany,False,"Max-Delbrück-Center for Molecular Medicine in the Helmholtz Association (MDC), Spatial Proteomics Group, 13125, Berlin, Germany."
41965357,Mohammadi A,Mohammadi,3,Max-Delbrück-Center for Molecular Medicine in the Helmholtz Association (MDC),Germany,False,"Max-Delbrück-Center for Molecular Medicine in the Helmholtz Association (MDC), Molecular Physiology of Somatic Sensation Laboratory, 13125, Berlin, Germany."
41965357,Luo W,Luo,4,Max-Delbrück-Center for Molecular Medicine in the Helmholtz Association (MDC),Germany,False,"Max-Delbrück-Center for Molecular Medicine in the Helmholtz Association (MDC), Molecular Physiology of Somatic Sensation Laboratory, 13125, Berlin, Germany."
41965357,Wang L,Wang,5,Max-Delbrück-Center for Molecular Medicine in the Helmholtz Association (MDC),Germany,False,"Max-Delbrück-Center for Molecular Medicine in the Helmholtz Association (MDC), Molecular Physiology of Somatic Sensation Laboratory, 13125, Berlin, Germany."
41965357,Lewin GR,Lewin,6,Max-Delbrück-Center for Molecular Medicine in the Helmholtz Association (MDC),Germany,True,"Max-Delbrück-Center for Molecular Medicine in the Helmholtz Association (MDC), Molecular Physiology of Somatic Sensation Laboratory, 13125, Berlin, Germany. glewin@mdc-berlin.de."
41965357,Coscia F,Coscia,7,Max-Delbrück-Center for Molecular Medicine in the Helmholtz Association (MDC),Germany,True,"Max-Delbrück-Center for Molecular Medicine in the Helmholtz Association (MDC), Spatial Proteomics Group, 13125, Berlin, Germany. fabian.coscia@mdc-berlin.de."
41655216,Wang Y,Wang,1,Nanjing Medical University,China,False,"Department of Oncology, Wuxi Medical Center, Wuxi Maternal and Child Health Care Hospital, Nanjing Medical University, Wuxi, China."
41655216,Wu Y,Wu,2,Institute of Molecular and Cell Biology (IMCB),Singapore,False,"Institute of Molecular and Cell Biology (IMCB), Agency for Science, Technology and Research (A*STAR), Singapore, Singapore."
41655216,Zhang F,Zhang,3,Nanjing Medical University,China,False,"Department of Oncology, Wuxi Medical Center, Wuxi Maternal and Child Health Care Hospital, Nanjing Medical University, Wuxi, China."
41655216,Periasamy P,Periasamy,4,Institute of Molecular and Cell Biology (IMCB),Singapore,False,"Institute of Molecular and Cell Biology (IMCB), Agency for Science, Technology and Research (A*STAR), Singapore, Singapore."
41655216,You H,You,5,Jiangnan University,China,False,"Department of Oncology, Wuxi Maternity and Child Health Care Hospital, Women's Hospital of Jiangnan University, Jiangnan University, Wuxi, China."
41655216,Goh D,Goh,6,Institute of Molecular and Cell Biology (IMCB),Singapore,False,"Institute of Molecular and Cell Biology (IMCB), Agency for Science, Technology and Research (A*STAR), Singapore, Singapore."
41655216,Fincham REA,Fincham,7,Singapore General Hospital (SGH),Singapore,False,"Department of Anatomical Pathology, Singapore General Hospital (SGH), Singapore, Singapore."
41655216,Ning X,Ning,8,Jiangnan University,China,False,"Department of Oncology, Wuxi Maternity and Child Health Care Hospital, Women's Hospital of Jiangnan University, Jiangnan University, Wuxi, China."
41655216,Wu D,Wu,9,Jiangnan University,China,False,"Department of Oncology, Wuxi Maternity and Child Health Care Hospital, Women's Hospital of Jiangnan University, Jiangnan University, Wuxi, China."
41655216,Liu L,Liu,10,Jiangnan University,China,False,"Department of Oncology, Wuxi Maternity and Child Health Care Hospital, Women's Hospital of Jiangnan University, Jiangnan University, Wuxi, China."
41655216,Jiang Y,Jiang,11,Jiangnan University,China,False,"Department of Oncology, Wuxi Maternity and Child Health Care Hospital, Women's Hospital of Jiangnan University, Jiangnan University, Wuxi, China."
41655216,Qian Z,Qian,12,Nanjing Medical University,China,False,"Department of Oncology, Wuxi Medical Center, Wuxi Maternal and Child Health Care Hospital, Nanjing Medical University, Wuxi, China."
41655216,Yeong J,Yeong,13,Institute of Molecular and Cell Biology (IMCB),Singapore,False,"Institute of Molecular and Cell Biology (IMCB), Agency for Science, Technology and Research (A*STAR), Singapore, Singapore."
41655216,Zhang Y,Zhang,14,Nanjing Medical University,China,False,"Department of Oncology, Wuxi Medical Center, Wuxi Maternal and Child Health Care Hospital, Nanjing Medical University, Wuxi, China."
39814024,Zheng X,Zheng,1,Aarhus University,Denmark,True,"Novo Nordisk Foundation Center for Protein Research, University of Copenhagen 2200, Copenhagen, Denmark; Department of Biomedicine, Aarhus University, Aarhus 8000, Denmark. Electronic address: xiang.zheng@cpr.ku.dk."
39814024,Mund A,Mund,2,BioInnovation Institute,Denmark,False,"Novo Nordisk Foundation Center for Protein Research, University of Copenhagen 2200, Copenhagen, Denmark; OmicVision Biosciences, BioInnovation Institute, Copenhagen 2200, Denmark."
39814024,Mann M,Mann,3,Max Planck Institute of Biochemistry,Germany,True,"Novo Nordisk Foundation Center for Protein Research, University of Copenhagen 2200, Copenhagen, Denmark; Proteomics and Signal Transduction, Max Planck Institute of Biochemistry, Martinsried 82152, Germany. Electronic address: mmann@biochem.mpg.de."
PPR1068194,Xu TT,Xu,1,Unknown,Unknown,False,
PPR1068194,Metousis A,Metousis,2,Unknown,Unknown,False,
PPR1068194,Kainacher L,Kainacher,3,Unknown,Unknown,False,
PPR1068194,Zhang X,Zhang,4,Unknown,Unknown,False,
PPR1068194,Steigenberger B,Steigenberger,5,Unknown,Unknown,False,
PPR1068194,Madden KG,Madden,6,Unknown,Unknown,False,
PPR1068194,Schweizer L,Schweizer,7,Unknown,Unknown,False,
PPR1068194,Duteil C,Duteil,8,Unknown,Unknown,False,
PPR1068194,Rossini S,Rossini,9,Unknown,Unknown,False,
PPR1068194,Lengyel E,Lengyel,10,Unknown,Unknown,False,
PPR1068194,Obermayr E,Obermayr,11,Unknown,Unknown,False,
PPR1068194,Shulman Z,Shulman,12,Unknown,Unknown,False,
PPR1068194,Nordmann TM,Nordmann,13,Unknown,Unknown,False,
PPR1068194,Lindberg EL,Lindberg,14,Unknown,Unknown,False,
PPR1068194,Mann M,Mann,15,Unknown,Unknown,False,
PPR1068194,Murray PJ,Murray,16,Unknown,Unknown,False,
PPR1052391,Nimo J,Nimo,1,Unknown,Unknown,False,"for Molecular Medicine in the Helmholtz Association (MDC), ,"
PPR1052391,Fritzsche S,Fritzsche,2,Unknown,Unknown,False,"for Molecular Medicine in the Helmholtz Association (MDC), ,"
PPR1052391,Valdes DS,Valdes,3,Unknown,Unknown,False,"for Molecular Medicine in the Helmholtz Association (MDC), ,"
PPR1052391,Trinh M,Trinh,4,Unknown,Unknown,False,"for Molecular Medicine in the Helmholtz Association (MDC), ,"
PPR1052391,Pentimalli T,Pentimalli,5,Unknown,Unknown,False,"for Molecular Medicine in the Helmholtz Association (MDC), ,"
PPR1052391,Klingeberg M,Klingeberg,6,Institute of Pathology,Unknown,False,"Institute of Pathology, , corporate member of and , ,"
PPR1052391,Schallenberg S,Schallenberg,7,Institute of Pathology,Unknown,False,"Institute of Pathology, , ,"
PPR1052391,Klauschen F,Klauschen,8,Unknown,Unknown,False,"for Molecular Medicine in the Helmholtz Association (MDC), ,"
PPR1052391,Herse F,Herse,9,Institute of Pathology,Unknown,False,"Institute of Pathology, , corporate member of and , ,"
PPR1052391,Florian S,Florian,10,Unknown,Unknown,False,"for Molecular Medicine in the Helmholtz Association (MDC), ,"
PPR1052391,Rajewsky N,Rajewsky,11,Unknown,Unknown,False,"for Molecular Medicine in the Helmholtz Association (MDC), ,"
PPR1052391,Coscia F,Coscia,12,Unknown,Unknown,False,
PPR1029109,Oliinyk D,Oliinyk,1,Unknown,Unknown,False,
PPR1029109,Heymann T,Heymann,2,Unknown,Unknown,False,
PPR1029109,Henneberg L,Henneberg,3,Unknown,Unknown,False,
PPR1029109,Bardziukova A,Bardziukova,4,Unknown,Unknown,False,
PPR1029109,Thielert M,Thielert,5,Unknown,Unknown,False,
PPR1029109,Kjærgaard J,Kjærgaard,6,Unknown,Unknown,False,
PPR1029109,Zwiebel M,Zwiebel,7,Unknown,Unknown,False,
PPR1029109,Vasconez S,Vasconez,8,Unknown,Unknown,False,
PPR1029109,Oeller M,Oeller,9,Unknown,Unknown,False,
PPR1029109,Metousis A,Metousis,10,Unknown,Unknown,False,
PPR1029109,Ugur E,Ugur,11,Unknown,Unknown,False,
PPR1029109,Rodriguez EH,Rodriguez,12,Unknown,Unknown,False,
PPR1029109,Rosenberger FA,Rosenberger,13,Unknown,Unknown,False,
PPR1029109,Schallenberg S,Schallenberg,14,Unknown,Unknown,False,
PPR1029109,Klauschen F,Klauschen,15,Unknown,Unknown,False,
PPR1029109,Mann M,Mann,16,Unknown,Unknown,False,
39910169,Kabatnik S,Kabatnik,1,University of Copenhagen,Denmark,False,"Novo Nordisk Foundation Center for Protein Research, Faculty of Health Science, University of Copenhagen, Copenhagen, Denmark."
39910169,Zheng X,Zheng,2,University of Copenhagen,Denmark,False,"Novo Nordisk Foundation Center for Protein Research, Faculty of Health Science, University of Copenhagen, Copenhagen, Denmark."
39910169,Pappas G,Pappas,3,University of Copenhagen,Denmark,False,"Novo Nordisk Foundation Center for Protein Research, Faculty of Health Science, University of Copenhagen, Copenhagen, Denmark."
39910169,Steigerwald S,Steigerwald,4,Max Planck Institute of Biochemistry,Germany,False,"Department of Proteomics and Signal Transduction, Max Planck Institute of Biochemistry, Martinsried, Germany."
39910169,Padula MP,Padula,5,University of Technology Sydney,Australia,True,"School of Life Sciences and Proteomics Core Facility, Faculty of Science, University of Technology Sydney, Ultimo, Australia. Matthew.Padula@uts.edu.au."
39910169,Mann M,Mann,6,University of Copenhagen,Denmark,True,"Novo Nordisk Foundation Center for Protein Research, Faculty of Health Science, University of Copenhagen, Copenhagen, Denmark. mmann@biochem.mpg.de."
PPR866889,Zheng X,Zheng,1,Unknown,Unknown,False,
PPR866889,Pedersen LM,Pedersen,2,Unknown,Unknown,False,
PPR866889,Bzorek M,Bzorek,3,Unknown,Unknown,False,
PPR866889,Mund A,Mund,4,Unknown,Unknown,False,
PPR866889,Gjerdrum LMR,Gjerdrum,5,Unknown,Unknown,False,
PPR866889,Mann M,Mann,6,Unknown,Unknown,False,
41721135,Weiss CAM,Weiss,1,Max Planck Institute of Biochemistry,Germany,False,"Proteomics and Signal Transduction, Max Planck Institute of Biochemistry, Martinsried, Germany."
41721135,Brown LA,Brown,2,National Cancer Institute,United States,False,"Cell Biology and Imaging Sections, Thoracic and GI Malignancies Branch, Center for Cancer Research, National Cancer Institute, National Institutes of Health, Bethesda, MD, USA."
41721135,Miranda L,Miranda,3,Max Planck Institute of Biochemistry,Germany,False,"Machine Learning and Systems Biology, Max Planck Institute of Biochemistry, Martinsried, Germany."
41721135,Pellizzoni P,Pellizzoni,4,Max Planck Institute of Biochemistry,Germany,False,"Machine Learning and Systems Biology, Max Planck Institute of Biochemistry, Martinsried, Germany."
41721135,Steigerwald S,Steigerwald,5,Max Planck Institute of Biochemistry,Germany,False,"Proteomics and Signal Transduction, Max Planck Institute of Biochemistry, Martinsried, Germany."
41721135,Remmert K,Remmert,6,National Cancer Institute,United States,False,"Surgical Oncology Program, National Cancer Institute, National Institutes of Health, Bethesda, MD, USA."
41721135,Hernandez JM,Hernandez,7,National Cancer Institute,United States,False,"Surgical Oncology Program, National Cancer Institute, National Institutes of Health, Bethesda, MD, USA."
41721135,Borgwardt K,Borgwardt,8,Max Planck Institute of Biochemistry,Germany,False,"Machine Learning and Systems Biology, Max Planck Institute of Biochemistry, Martinsried, Germany."
41721135,Kleiner DE,Kleiner,9,National Cancer Institute,United States,False,"Laboratory of Pathology, Center for Cancer Research, National Cancer Institute, National Institutes of Health, Bethesda, MD, USA."
41721135,Ben-Moshe S,Ben-Moshe,10,Max Planck Institute of Biochemistry,Germany,False,"Proteomics and Signal Transduction, Max Planck Institute of Biochemistry, Martinsried, Germany."
41721135,Rosenberger FA,Rosenberger,11,Max Planck Institute of Biochemistry,Germany,True,"Proteomics and Signal Transduction, Max Planck Institute of Biochemistry, Martinsried, Germany. rosenberger@biochem.mpg.de."
41721135,Porat-Shliom N,Porat-Shliom,12,National Cancer Institute,United States,True,"Cell Biology and Imaging Sections, Thoracic and GI Malignancies Branch, Center for Cancer Research, National Cancer Institute, National Institutes of Health, Bethesda, MD, USA. natalie.porat-shliom@nih.gov."
41721135,Mann M,Mann,13,Max Planck Institute of Biochemistry,Germany,True,"Proteomics and Signal Transduction, Max Planck Institute of Biochemistry, Martinsried, Germany. mmann@biochem.mpg.de."
PPR1002479,Migh E,Migh,1,Unknown,Unknown,False,
PPR1002479,Miczán V,Miczán,2,Unknown,Unknown,False,
PPR1002479,Post F,Post,3,Unknown,Unknown,False,
PPR1002479,Koos K,Koos,4,Unknown,Unknown,False,
PPR1002479,Beleon A,Beleon,5,Unknown,Unknown,False,
PPR1002479,Kokai D,Kokai,6,Unknown,Unknown,False,
PPR1002479,Iván ZZ,Iván,7,Unknown,Unknown,False,
PPR1002479,Grexa I,Grexa,8,Unknown,Unknown,False,
PPR1002479,Moshkov N,Moshkov,9,Unknown,Unknown,False,
PPR1002479,Hollandi R,Hollandi,10,Unknown,Unknown,False,
PPR1002479,Csikos D,Csikos,11,Unknown,Unknown,False,
PPR1002479,Hapek N,Hapek,12,Unknown,Unknown,False,
PPR1002479,Kaptás F,Kaptás,13,Unknown,Unknown,False,
PPR1002479,Kovacs F,Kovacs,14,Unknown,Unknown,False,
PPR1002479,Kriston A,Kriston,15,Unknown,Unknown,False,
PPR1002479,Mahdessian D,Mahdessian,16,Unknown,Unknown,False,
PPR1002479,Axelsson U,Axelsson,17,Unknown,Unknown,False,
PPR1002479,Pal C,Pal,18,Unknown,Unknown,False,
PPR1002479,Lundberg E,Lundberg,19,Unknown,Unknown,False,
PPR1002479,Manczinger M,Manczinger,20,Unknown,Unknown,False,
PPR1002479,Mund A,Mund,21,Unknown,Unknown,False,
PPR1002479,Mann M,Mann,22,Unknown,Unknown,False,
PPR1002479,Horvath P,Horvath,23,Unknown,Unknown,False,
40240610,Rosenberger FA,Rosenberger,1,Max Planck Institute of Biochemistry,Germany,True,"Department of Proteomics and Signal Transduction, Max Planck Institute of Biochemistry, Martinsried, Germany. rosenberger@biochem.mpg.de."
40240610,Mädler SC,Mädler,2,Max Planck Institute of Biochemistry,Germany,False,"Department of Proteomics and Signal Transduction, Max Planck Institute of Biochemistry, Martinsried, Germany."
